,Nup,Ndn,Currents
0,2.3806378408477986,2.7566387338177663,2.5479002697174707e-08
1,2.2690135067387924,2.523439048182445,0.012015492618975745
2,2.1558766191340584,2.3223408232494314,0.02212628793969458
3,2.045246197272624,2.148123384489125,0.03162622356714243
4,1.9396243339117663,1.9965913895688217,0.040939934217439446
5,1.8404478594105635,1.8643076721987886,0.05017680863641514
6,1.7484389390871098,1.7484582576663084,0.05932581749196734
7,1.663828348357403,1.646709812288428,0.06834680843553943
8,1.586523141079132,1.5571216516969704,0.07718182525112352
9,1.5162316613170668,1.4780581676819557,0.0857909545843959
10,1.4525421127836498,1.408134781177333,0.09413145468888566
11,1.3949778392629295,1.3461763612215352,0.10216569982573351
12,1.3430389320655869,1.2911772243483066,0.10986449006971291
13,1.29622548277262,1.2422750111278118,0.11720217754039942
14,1.2540541310461963,1.1987293659374767,0.12415873746930217
15,1.2160699548600438,1.1598894235666142,0.13071737817334086
16,1.1818488703090844,1.1252001088348687,0.1368668575712019
17,1.1510008069346471,1.094176656892915,0.14259975974614533
18,1.1231714040769316,1.0663937738826021,0.14791250700779282
19,1.0980405833762572,1.0414805794078503,0.15280413252085442
20,1.075319815095329,1.0191134023897972,0.15727723104396343
21,1.0547503536443814,0.9990070263771255,0.1613371935304025
22,1.0361012504301967,0.9809116031352676,0.16499216640544245
23,1.0191663791327683,0.964606701531385,0.16823253703181723
24,1.003763019649305,0.9498984369582051,0.17110917410305443
25,0.989727896765185,0.9366159105083985,0.1736225875995057
26,0.9769163655398769,0.9246082072973812,0.17578476098167548
27,0.9651999369568893,0.9137418287504308,0.17760026117935473
28,0.9544646120266255,0.9038986781778424,0.17911750790293435
29,0.9446092002347567,0.8949741147108958,0.18031739379195078
30,0.9355456770258077,0.8868758889307209,0.18123452647649718
31,0.9271892497727391,0.8795201881494435,0.18188742702176597
32,0.9194734278032345,0.8728349449901752,0.1822945793198871
33,0.9123344569530973,0.8667548694408385,0.1824742427602983
34,0.9057159617904956,0.8612217877662214,0.18244437088171267
35,0.8995680679490762,0.8561838630243939,0.1822224223454721
36,0.8938463261886973,0.8515949024246827,0.18182529114900506
37,0.8885111118564151,0.8474135082777506,0.18126921140955463
38,0.8835270379273952,0.8436026321309935,0.1805697014948541
39,0.8788625024398556,0.8401290608481872,0.17974150497261243
40,0.8744892047258103,0.8369629617358808,0.178798574751604
41,0.8703818385962621,0.8340775252681945,0.17775402535233442
42,0.8665176824999761,0.8314485886112631,0.17662015148489346
43,0.8628763715059838,0.8290543812028837,0.17540840800378454
44,0.8594395906797787,0.8268752284761519,0.1741294733209406
45,0.8561908680270142,0.8248933536557133,0.17279316551283366
46,0.8531153701045423,0.8230926454807622,0.17140858539428777
47,0.8501997138452623,0.821458491225026,0.16998405651228707
48,0.8474318094608185,0.8199776287084098,0.16852720995355489
49,0.844800768373216,0.8186379739339287,0.16704498334218582
50,0.8422967067692821,0.8174285341066796,0.16554369786798923
51,0.8399106338035887,0.8163392917964097,0.1640290455122726
52,0.8376344559933108,0.8153610637440082,0.1625061620646608
53,0.8354608409058615,0.8144854823658255,0.1609796785009383
54,0.8333830607832109,0.8137048683058286,0.15945369379121213
55,0.831395025559077,0.8130121813589334,0.15793190483213768
56,0.8294910878344969,0.8124009794492881,0.15641754941925526
57,0.8276664293753999,0.8118652621774234,0.154913505896917
58,0.8259159734737376,0.8113996509992009,0.15342228362448057
59,0.8242357145539712,0.8109990794166796,0.151946084523673
60,0.822621760369707,0.8106588865014029,0.15048680178103457
61,0.8210705499571201,0.8103747823598846,0.1490460798401381
62,0.819578813069563,0.8101428019104621,0.1476253090835049
63,0.8181435463416401,0.809959277386922,0.1462256584893157
64,0.8167619838363597,0.8098208128196458,0.14484811320122506
65,0.8154315808508797,0.8097242609999771,0.1434934736097798
66,0.8141499867185584,0.8096667043372291,0.14216237322397376
67,0.8129150343380978,0.8096454331256246,0.14085532296256462
68,0.8117247174421935,0.8096579324555015,0.13957268902511466
69,0.8105771756926643,0.8097018588788988,0.13831473838636235
70,0.8094706973767638,0.8097750516272685,0.137081623930601
71,0.8084036788981844,0.8098754791514656,0.13587342614876452
72,0.8073746383064234,0.8100012613954141,0.13469014374244445
73,0.8063821942212466,0.8101506452387432,0.13353169623465755
74,0.8054250552892964,0.8103219906381177,0.1323979538574577
75,0.8045020282801809,0.8105137857548664,0.13128874851632408
76,0.8036119861619098,0.8107246059667892,0.13020383322696732
77,0.8027538780968111,0.8109531246195057,0.1291429547956643
78,0.8019267213802366,0.8111981100601797,0.12810581027385065
79,0.8011295938204333,0.8114584102067425,0.12709208668902092
80,0.8003616285254277,0.8117329420016408,0.1261014209087703
81,0.7996219981825803,0.8120207162649186,0.12513345925942732
82,0.798909942329034,0.8123207849511158,0.12418780683979047
83,0.7982247276381015,0.812632277305535,0.12326407913432845
84,0.7975656712074147,0.8129543554631025,0.12236187159743091
85,0.7969321190655597,0.8132862965529529,0.12148077337356591
86,0.7963234522426222,0.8136273630826973,0.12062037304174224
87,0.795738832775759,0.8139769946099221,0.1197802491580418
88,0.7951781926651319,0.8143343843495975,0.11895997656694544
89,0.7946407647117848,0.8146990358267632,0.11815915544688475
90,0.7941260405480077,0.8150704209811518,0.11737735590782754
91,0.7936335344907393,0.8154480088152711,0.11661416361617878
92,0.7931627803330935,0.8158313460552076,0.11586917528465206
93,0.7927133329668786,0.8162199853854124,0.11514198064564483
94,0.7922847189547935,0.8166135010062668,0.11443218438848579
95,0.791876606767792,0.8170116468084025,0.1137393853908585
96,0.7914885296520306,0.8174138569708921,0.11306319941337027
97,0.7911201360835619,0.8178199250013182,0.11240324599494902
98,0.7907710574593284,0.8182295515598179,0.11175914301142006
99,0.7904409006529978,0.8186424380534715,0.11113053658731595
100,0.7901293931378663,0.8190582938937583,0.11051705559015232
